track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio
25,10.0,393.0,383.0,384,140.70781250000002,140.65,0.20027040639366267,-0.0010737915804823368,0.008616187989555943,36.67502231906997,50.914120997698234,60.428842539870715,-0.45951513594904103,68,0.17708333333333334
26,10.0,370.0,360.0,361,46.91301939058172,46.9,0.06634103246102045,-0.0003112007264453862,0.003194444444444342,274.0236323697358,13.652934882460897,76.25001826753606,-1.6341845159611297,87,0.2409972299168975
27,10.0,417.0,407.0,408,68.28112745098038,68.25,0.11829757854487423,-0.00045459669363024356,0.009213759213759038,53.91965902691526,48.05051949817422,69.18457539866348,-1.7908037148642235,103,0.25245098039215685
28,10.0,89.0,79.0,80,103.73312500000002,103.725,0.049964831381680015,-0.001417604313174099,0.008860759493670382,217.5260699240326,211.49960220442824,23.851265993930486,3.8929443132024906,18,0.225
29,10.0,396.0,386.0,387,45.51498708010336,45.5,0.073278255133794,-0.0004977000085713039,0.005310880829015536,328.71922980936154,7.704628451904341,80.2142701592737,0.4377467843394288,99,0.2558139534883721
30,10.0,130.0,120.0,121,102.59380165289257,102.65,0.12507357304784206,-0.0032390597480013764,0.00791666666666669,234.29413789136137,220.15144042137135,60.86523480649863,1.9271946632973629,15,0.12396694214876033
31,10.0,283.0,273.0,274,91.78503649635037,91.75,0.12430316182736233,-0.0013498909849277497,0.00549450549450539,354.85186964138137,354.7928541028662,65.20114835350908,0.8790134976264155,83,0.3029197080291971
32,10.0,84.0,74.0,75,136.884,136.9,0.07795725324389398,-0.002664295874821022,0.009459459459458922,223.58793204822146,221.66364801401906,12.820380539582407,0.4996626674754664,9,0.12
33,10.0,389.0,379.0,380,105.5146052631579,105.45,0.16235471877694468,-0.0009816385956891256,0.007387862796833803,56.38652637876037,37.32327305111494,61.491357188637,0.711672314850293,66,0.1736842105263158
34,10.0,385.0,375.0,376,70.32885638297873,70.25,0.12176023095508666,-0.0008133585416782926,0.0034666666666665073,34.19379439344479,286.0702594775795,62.39358477524575,3.2933127879412893,69,0.18351063829787234
35,23.0,73.0,50.0,51,251.01078431372554,251.0,0.0743031189078337,-0.0016108597285059527,0.008000000000000682,220.97513824724678,218.95014446443716,5.7500961360247596,0.4434195812653894,0,0.0
36,59.0,120.0,61.0,62,227.94435483870967,227.95,0.015823723282533782,-0.00020775100098216587,0.001639344262294523,285.5554610856476,280.8086120262948,42.329171972436725,2.5949859727972493,0,0.0
37,62.0,129.0,67.0,68,23.477941176470587,23.5,0.024826386788432905,-0.0010840935985036292,0.0022388059701492855,344.8321533158543,214.02422428366702,79.90657102909435,0.656727924263769,28,0.4117647058823529
38,73.0,282.0,209.0,210,46.03095238095238,46.0,0.05830174071605049,-0.0006358420825867657,0.0031100478468899452,346.8595446803804,70.26825523209573,67.18135694314343,2.6952097057332343,51,0.24285714285714285
39,103.0,226.0,123.0,124,124.72419354838712,124.7,0.08242393144290847,-0.001890479937057494,0.003658536585365761,27.517083366532447,24.583195345874117,22.70460464126633,0.5194018340238395,25,0.20161290322580644
40,103.0,388.0,285.0,286,170.52587412587414,170.5,0.05349764613250629,-0.00027789925094179557,0.0043859649122812,47.42521551586493,50.378164918888785,21.32175156493394,0.28467081222702917,12,0.04195804195804196
41,105.0,313.0,208.0,175,375.1117142857143,375.1,0.04430322234559309,-0.0001189401115278466,0.0028735632183901514,34.29454341915893,42.76265252244343,19.027824288333107,0.31662844308773663,1,0.005714285714285714
42,108.0,152.0,44.0,45,408.91666666666686,408.9,0.023570226039556937,-0.0014822134387351526,0.0011363636363638948,6.894080195388709,15.048990224113822,14.843276152291429,1.2456081174377607,0,0.0
43,117.0,316.0,199.0,199,148.8158291457286,148.8,0.03563058584999222,-0.0002409668274029239,0.005303030303030361,35.14259552574721,20.247409204110454,24.56165965251916,2.631519501671947,26,0.1306532663316583
44,118.0,169.0,51.0,52,344.6384615384617,344.65,0.021066252211717994,0.0006659267480577898,0.001960784313723707,14.877700754923513,16.89969934720159,5.030537589369458,0.28546149462082626,0,0.0
45,119.0,261.0,142.0,143,159.85244755244756,159.85,0.027941416816791832,-0.00014527725795337768,0.006338028169013724,39.453568418679005,38.8931407026601,13.747612638368606,0.3181084585563196,9,0.06293706293706294
46,120.0,255.0,135.0,136,193.22022058823532,193.2,0.028683539852638183,0.0004065884261251891,0.0014814814814818184,36.828426183278104,35.85000243700914,15.063082442888906,0.40951743812642877,5,0.03676470588235294
47,122.0,393.0,271.0,272,238.7029411764706,238.7,0.05415280188094599,-1.338741571025354e-05,0.0064575645756458615,49.31791967100606,52.25110962803621,14.368864287054972,0.20352165658798352,1,0.003676470588235294
48,123.0,335.0,212.0,213,175.68967136150232,175.7,0.05576093317098886,-0.00045853502251419975,0.005188679245282992,43.13288018890816,44.35809221115328,14.290015797549207,0.2090351777633659,12,0.056338028169014086
49,124.0,345.0,221.0,222,14.21081081081081,14.25,0.09793024852832807,0.00018349620037825493,0.006787330316742097,25.075830019333573,84.81738962628276,74.77013645234872,4.7583432658145295,107,0.481981981981982
50,126.0,180.0,54.0,55,148.1354545454546,148.15,0.022709083630544788,-0.0009848484848477112,0.0018518518518522728,31.390532760615155,28.149354226388194,9.837441684250479,0.38080499819043234,3,0.05454545454545454
51,132.0,369.0,237.0,238,210.88508403361345,210.85,0.07417751588399991,0.0001883312511486826,0.009704641350210059,51.49706989520974,51.96171092326851,18.490408682746864,0.27649090446472546,2,0.008403361344537815
52,134.0,373.0,239.0,240,102.31416666666664,102.3,0.04241822197541482,-0.00017695619715621803,0.005857740585774142,44.30970851039665,11.949851844414184,46.148662169881895,0.6475952371606986,41,0.17083333333333334
53,136.0,401.0,265.0,266,499.9499999999998,499.95,1.7053025658242404e-13,1.26430895921656e-15,0.0,224.5144165141179,219.78716232546236,84.11377246480143,-2.8780189906938913,69,0.2593984962406015
54,138.0,185.0,47.0,48,103.33541666666667,103.35,0.03220755173696011,-0.0006784628745115461,0.0063829787234048,53.81399247360046,54.694590775155234,15.061541591599733,0.24425504295987358,4,0.08333333333333333
55,138.0,333.0,195.0,196,159.1369897959184,159.15,0.038420603236017786,0.0001236363346586893,0.00615384615384595,43.013846112466574,43.35091859042569,15.790365327361584,0.1367420116111972,16,0.08163265306122448
56,139.0,357.0,218.0,219,136.44406392694063,136.45,0.06594182800370041,0.00013767180412902505,0.009174311926605895,54.385217592210786,53.344160518744815,28.91017326142239,0.35641053897092967,30,0.136986301369863
57,139.0,353.0,214.0,215,295.5158139534884,295.5,0.023251162325493638,0.0001250332053422731,0.00420560747663647,49.470066979991934,51.85262629057717,13.193754890992254,0.23456461700405762,0,0.0
58,146.0,357.0,211.0,212,152.2429245283019,152.25,0.05020649775906051,7.85901135148513e-05,0.005924170616114013,58.03525257002927,57.31341304911877,19.075239820685677,0.08068522389693394,27,0.12735849056603774
59,147.0,211.0,64.0,65,229.85538461538468,229.9,0.049709213604315676,0.0022814685314687575,0.0015624999999999112,34.78966820902028,33.050001827751935,5.168644105578852,0.2752472856122863,0,0.0
60,148.0,409.0,261.0,231,250.05822510822512,250.05,0.05443023631207456,-0.0005122310223751985,0.005000000000000272,58.940738813914926,60.627133328600145,14.749568940797788,0.19806539617763877,7,0.030303030303030304
61,148.0,313.0,165.0,166,183.3346385542168,183.35,0.02306725541992682,-0.000384663313023475,0.0003030303030301997,47.030243850224565,43.59310897362276,14.471180131429511,0.2847621274111723,6,0.03614457831325301
62,152.0,221.0,69.0,70,14.877142857142859,14.85,0.08003825615903658,-0.0016796430758463628,0.010869565217391278,347.0670384130117,342.8669918373338,46.97104479039253,-0.2259475068296086,47,0.6714285714285714
63,157.0,361.0,204.0,205,204.64682926829275,204.65,0.05803443151206033,0.0006418631861933457,0.005147058823529189,53.715991140751406,51.24992380241591,13.89249656313474,0.2346443122320259,7,0.03414634146341464
64,161.0,335.0,174.0,166,340.958734939759,340.95,0.062326111710115144,0.0010410764585876853,0.005757575757577067,43.84828675071598,44.30046537876594,10.498034033361975,0.22100471953986353,0,0.0
65,169.0,236.0,67.0,68,245.8492647058823,245.85,0.006018641744021807,1.0497385196966247e-05,0.0014925373134323267,42.312746745127555,40.9503611379082,5.710701342758069,0.233530854946206,2,0.029411764705882353
66,170.0,324.0,154.0,132,171.5776515151515,171.6,0.024858991681097283,-7.3997807724959e-05,0.004198473282441316,53.41503937945418,51.25123900870942,14.2733882387234,0.32349681310249556,3,0.022727272727272728
67,173.0,281.0,108.0,109,173.5798165137614,173.6,0.02453163661856216,0.00018302288944514443,0.0018518518518512203,47.76875961107128,51.14761715179862,11.884383436241322,0.35829853384931887,2,0.01834862385321101
68,173.0,232.0,59.0,60,241.77249999999992,241.75,0.024874685927671152,0.0012239510975271509,0.00254237288135651,42.56890333535571,41.30155506097921,6.635456563457889,0.34648627175178065,0,0.0
69,174.0,259.0,85.0,86,344.5244186046512,344.5,0.024993238674662282,0.0002698240483046964,0.004705882352942246,37.10983053636513,37.20391452684906,6.899416993647012,0.2957955676122301,0,0.0
70,234.0,377.0,143.0,144,4.526041666666667,4.55,0.03383412868523262,-0.00048579294268948894,0.00454545454545453,0.0,0.0,0.0,0.0,0,0.0
71,246.0,289.0,43.0,44,13.195454545454544,13.2,0.08843216571974453,0.006293164200140992,0.009302325581395357,52.03005941795023,75.10520362229809,57.169515529684425,4.84906933836477,25,0.5681818181818182
72,246.0,314.0,68.0,69,245.92246376811602,245.9,0.02487101782858646,0.0010759956156374153,0.000735294117646808,59.043954493726325,58.0286548219622,4.730425020763827,0.12655322776600728,1,0.014492753623188406
73,251.0,331.0,80.0,81,0.5,0.5,0.0,5.643781659307922e-19,0.0,0.0,0.0,0.0,0.0,0,0.0
74,253.0,303.0,50.0,51,124.71666666666665,124.7,0.053930480546957975,-0.002271493212669791,0.009999999999999431,45.08871743752042,48.47646491221749,22.417025093944826,0.48564221896975096,5,0.09803921568627451
75,258.0,341.0,83.0,84,272.8785714285715,272.9,0.08319716766502447,0.0009881542978636695,0.009638554216868291,61.500335531146035,60.2485523431312,6.56756914193335,0.14934187517718653,0,0.0
76,258.0,417.0,159.0,160,36.598437499999996,36.65,0.07233210624439197,0.0006755390835579289,0.007861635220125696,240.81051263898468,249.25362034300178,74.83896949597899,3.0219966511354825,66,0.4125
77,266.0,329.0,63.0,64,2.35859375,2.4,0.0548824649677609,6.295787545787738e-05,0.00873015873015874,0.0,0.0,0.0,0.0,0,0.0
78,271.0,317.0,46.0,47,344.59042553191495,344.6,0.019673661711607594,0.0009886679000914403,0.0010869565217393776,52.38197961078262,53.755454478536365,3.365563691262978,-0.12438660375302761,0,0.0
79,278.0,329.0,51.0,52,193.24519230769232,193.25,0.038304969782773805,-0.0006851361734817957,0.003921568627451315,67.65575018255619,69.30115338864515,7.334227634961217,0.12098226877269856,1,0.019230769230769232
80,290.0,331.0,41.0,42,229.77738095238098,229.8,0.02488636304806146,-0.00025524673851288777,0.004878048780488914,68.7411372203529,68.89805991475131,5.313206331301747,0.39582915561692894,0,0.0
81,310.0,373.0,63.0,64,14.790625000000002,14.8,0.07648273906575297,-0.002342032967033,0.009523809523809575,248.32776786213248,6.191926978730635,76.20146961137314,-2.4454866666784176,37,0.578125
82,318.0,387.0,69.0,70,375.05071428571426,375.05,0.005933302759228546,2.536960895769623e-05,0.0014492753623191702,48.9976666703859,53.42203473535585,14.692839680217796,-0.32777683133958097,9,0.12857142857142856
83,330.0,393.0,63.0,64,10.0,10.0,0.0,-1.4717736019870544e-17,0.0,45.78437072390243,49.01193547545398,29.077328211399195,-0.5703011635012663,19,0.296875
84,335.0,417.0,82.0,83,73.39036144578313,73.4,0.11679913540623715,-0.004421518827924826,0.00670731707317087,135.63944228007315,226.27644008388233,44.14321497899718,-16.197109651310114,27,0.3253012048192771
85,336.0,417.0,81.0,82,48.85243902439025,48.85,0.05290490722801003,-0.0006312512924326038,0.013580246913580615,45.63127230101392,32.13297882717858,61.08176671301098,-0.855284366225675,19,0.23170731707317074
86,344.0,385.0,41.0,42,159.09047619047618,159.1,0.022461859838225073,-0.0011506360910784924,0.003658536585365992,79.56327595043214,77.33369140482792,29.80966181392488,0.7092951251746308,9,0.21428571428571427
87,346.0,417.0,71.0,72,71.13402777777777,71.1,0.056412659193520426,0.0004509936330310982,0.009859154929577705,67.69402935118924,83.14758435826838,50.95937322196529,7.015764303356914,14,0.19444444444444445
88,350.0,417.0,67.0,68,85.47132352941178,85.45,0.08673666047235129,-0.001128946062526387,0.006716417910447591,349.35636151654984,340.7112206995429,55.01730474995355,-5.390380959565285,27,0.39705882352941174
89,358.0,410.0,52.0,53,47.41132075471697,47.4,0.026849527303317796,-0.0001007901951297788,0.004807692307692444,33.28516704325303,59.68902180078892,67.23075897924284,1.2901700076380627,23,0.4339622641509434
90,361.0,417.0,56.0,57,61.11842105263159,61.1,0.05098295118147635,-0.002126004666839548,0.007142857142857372,47.80650968418594,35.87946556150968,59.47939918074039,-1.5640042724877503,17,0.2982456140350877
91,367.0,413.0,46.0,47,15.001063829787233,15.0,0.007215244662899324,0.00013297872340426866,0.0010869565217391458,203.01873209699016,176.5459212473557,75.02830614198254,-6.496806861429063,24,0.5106382978723404
92,368.0,417.0,49.0,50,59.25399999999999,59.25,0.045650848842050715,-0.0024249699879951027,0.004081632653060992,9.075003497879065,12.241287111310728,15.119724742336798,-0.8959685877469327,13,0.26
93,370.0,415.0,45.0,46,118.5989130434782,118.6,0.11725535606325023,-0.0071877890841806425,0.011111111111111112,74.91927175130384,78.9316851886918,29.41577705866046,-1.322666327791135,10,0.21739130434782608
