track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio,doa_motion_ok,doa_noise_ok,doa_prefilter_keep,cluster_id_final,pair_count,support_count,track_support_ratio,track_role
42,108.0,152.0,44.0,45,408.91666666666686,408.9,0.023570226039556937,-0.0014822134387351526,0.0011363636363638948,6.894080195388709,15.048990224113822,14.843276152291429,1.2456081174377607,0,0.0,True,True,True,-1,44,0,0.0,isolated
43,117.0,316.0,199.0,199,148.8158291457286,148.8,0.03563058584999222,-0.0002409668274029239,0.005303030303030361,35.14259552574721,20.247409204110454,24.56165965251916,2.631519501671947,26,0.1306532663316583,True,True,True,-1,44,0,0.0,isolated
44,118.0,169.0,51.0,52,344.6384615384617,344.65,0.021066252211717994,0.0006659267480577898,0.001960784313723707,14.877700754923513,16.89969934720159,5.030537589369458,0.28546149462082626,0,0.0,True,True,True,-1,44,0,0.0,isolated
45,119.0,261.0,142.0,143,159.85244755244756,159.85,0.027941416816791832,-0.00014527725795337768,0.006338028169013724,39.453568418679005,38.8931407026601,13.747612638368606,0.3181084585563196,9,0.06293706293706294,True,True,True,0,44,12,0.2727272727272727,core
46,120.0,255.0,135.0,136,193.22022058823532,193.2,0.028683539852638183,0.0004065884261251891,0.0014814814814818184,36.828426183278104,35.85000243700914,15.063082442888906,0.40951743812642877,5,0.03676470588235294,True,True,True,0,44,10,0.22727272727272727,core
47,122.0,393.0,271.0,272,238.7029411764706,238.7,0.05415280188094599,-1.338741571025354e-05,0.0064575645756458615,49.31791967100606,52.25110962803621,14.368864287054972,0.20352165658798352,1,0.003676470588235294,True,True,True,0,44,14,0.3181818181818182,core
48,123.0,335.0,212.0,213,175.68967136150232,175.7,0.05576093317098886,-0.00045853502251419975,0.005188679245282992,43.13288018890816,44.35809221115328,14.290015797549207,0.2090351777633659,12,0.056338028169014086,True,True,True,0,44,13,0.29545454545454547,core
50,126.0,180.0,54.0,55,148.1354545454546,148.15,0.022709083630544788,-0.0009848484848477112,0.0018518518518522728,31.390532760615155,28.149354226388194,9.837441684250479,0.38080499819043234,3,0.05454545454545454,True,True,True,-1,44,0,0.0,isolated
51,132.0,369.0,237.0,238,210.88508403361345,210.85,0.07417751588399991,0.0001883312511486826,0.009704641350210059,51.49706989520974,51.96171092326851,18.490408682746864,0.27649090446472546,2,0.008403361344537815,True,True,True,0,44,13,0.29545454545454547,core
54,138.0,185.0,47.0,48,103.33541666666667,103.35,0.03220755173696011,-0.0006784628745115461,0.0063829787234048,53.81399247360046,54.694590775155234,15.061541591599733,0.24425504295987358,4,0.08333333333333333,True,True,True,-1,44,0,0.0,isolated
55,138.0,333.0,195.0,196,159.1369897959184,159.15,0.038420603236017786,0.0001236363346586893,0.00615384615384595,43.013846112466574,43.35091859042569,15.790365327361584,0.1367420116111972,16,0.08163265306122448,True,True,True,0,44,8,0.18181818181818182,core
57,139.0,353.0,214.0,215,295.5158139534884,295.5,0.023251162325493638,0.0001250332053422731,0.00420560747663647,49.470066979991934,51.85262629057717,13.193754890992254,0.23456461700405762,0,0.0,True,True,True,0,44,14,0.3181818181818182,core
58,146.0,357.0,211.0,212,152.2429245283019,152.25,0.05020649775906051,7.85901135148513e-05,0.005924170616114013,58.03525257002927,57.31341304911877,19.075239820685677,0.08068522389693394,27,0.12735849056603774,True,True,True,-1,44,0,0.0,isolated
59,147.0,211.0,64.0,65,229.85538461538468,229.9,0.049709213604315676,0.0022814685314687575,0.0015624999999999112,34.78966820902028,33.050001827751935,5.168644105578852,0.2752472856122863,0,0.0,True,True,True,-1,44,0,0.0,isolated
60,148.0,409.0,261.0,231,250.05822510822512,250.05,0.05443023631207456,-0.0005122310223751985,0.005000000000000272,58.940738813914926,60.627133328600145,14.749568940797788,0.19806539617763877,7,0.030303030303030304,True,True,True,0,44,13,0.29545454545454547,core
