track_id_1,track_id_2,f_median_1,f_median_2,doa_median_1,doa_median_2,overlap_points,overlap_duration,mean_diff,median_diff,p90_diff,corr,doa_consistent,reason
20,58,152.25,443.15,41.150530971131104,45.94654412157132,282,281.0,23.35901367061924,15.807531446648824,47.16756811751988,0.8134335198151859,False,diff_too_large
20,59,152.25,148.8,41.150530971131104,26.343210229586475,279,278.0,31.186119255803153,20.388512234234753,79.59766941862908,0.36810975683624075,False,diff_too_large
20,60,152.25,170.5,41.150530971131104,49.68115529117506,289,288.0,21.887705688333256,14.179065051046052,43.925803781715906,0.8089779046807588,False,diff_too_large
20,61,152.25,261.5,41.150530971131104,41.94505962063306,249,248.0,22.68472309310345,13.24301798048225,41.62698588572379,0.806277635268196,False,diff_too_large
20,62,152.25,250.05,41.150530971131104,54.291395779088134,283,282.0,21.884788401323593,13.927470797770923,40.94618431467173,0.7781850654681899,False,diff_too_large
20,63,152.25,187.4,41.150530971131104,31.349212475013132,175,174.0,27.58195112197847,17.60960851232994,59.889535792950866,0.7903247657242077,False,diff_too_large
20,64,152.25,210.9,41.150530971131104,50.549892113343276,280,279.0,24.14691973597326,14.537122387757591,51.93032289138083,0.7004511960552989,False,diff_too_large
20,65,152.25,159.125,41.150530971131104,43.67027417164445,273,272.0,22.834575710230293,16.09722646656428,49.93080144372404,0.5918487863561461,False,diff_too_large
20,66,152.25,229.8,41.150530971131104,46.25477894288929,261,260.0,17.961101334748925,11.023570928267418,35.0940111120978,0.6053206601015068,True,ok
20,67,152.25,148.1,41.150530971131104,22.549881994332168,86,85.0,,,,,False,overlap_too_short
20,68,152.25,101.3,41.150530971131104,31.48829525819042,135,134.0,31.659068050136522,17.904863244349656,71.91552586654186,0.2790805968624452,False,diff_too_large
20,69,152.25,363.7,41.150530971131104,45.148799692523085,267,266.0,19.335049632030575,12.400217787914187,35.96565485442966,0.5623349054750609,True,ok
20,70,152.25,318.25,41.150530971131104,32.82154046062351,180,179.0,21.519642356506978,14.832163511589187,38.64688490952869,0.632181608908373,False,diff_too_large
20,71,152.25,409.05,41.150530971131104,31.53707413840624,171,170.0,22.554516025246887,15.169788153566003,42.0961048982042,0.6771262090897212,False,diff_too_large
20,72,152.25,272.85,41.150530971131104,21.749542867920184,87,86.0,,,,,False,overlap_too_short
20,73,152.25,241.75,41.150530971131104,33.65013161132174,139,138.0,21.822543624652607,12.48112580906286,45.77130256886364,0.48014410602680563,False,diff_too_large
20,74,152.25,183.35,41.150530971131104,43.09783552808506,212,211.0,21.457469951474085,15.02392727169024,43.77368492781111,0.2767178077070565,False,diff_too_large
20,75,152.25,245.9,41.150530971131104,55.1143935093304,255,254.0,17.76856057496859,13.002767244632253,32.935914291403286,0.44283899588237485,True,ok
20,76,152.25,117.05,41.150530971131104,32.750586842060045,83,82.0,,,,,False,overlap_too_short
20,78,152.25,171.6,41.150530971131104,50.849914082948494,247,246.0,22.239638359372524,15.564733848748062,44.86030241191772,0.12075743117225583,False,diff_too_large
20,79,152.25,341.5,41.150530971131104,20.400654406390835,50,49.0,,,,,False,overlap_too_short
20,81,152.25,340.95,41.150530971131104,46.150111812416796,225,224.0,20.657189345505433,15.7160945045851,37.75982343845262,0.34631733866602865,False,diff_too_large
20,82,152.25,173.6,41.150530971131104,50.67097976421888,166,165.0,21.59599260132355,16.310361587082838,35.95378154544497,0.22516377403026358,False,diff_too_large
20,84,152.25,386.35,41.150530971131104,32.643325745194836,89,88.0,,,,,False,overlap_too_short
20,85,152.25,257.55,41.150530971131104,30.708001999962093,40,39.0,,,,,False,overlap_too_short
20,86,152.25,292.7,41.150530971131104,42.850152807414865,112,111.0,24.991625113968457,19.17087561667492,37.8849696674503,0.20510679027937295,False,diff_too_large
20,87,152.25,199.05,41.150530971131104,48.91554455535989,130,129.0,23.19218549918457,19.710504862357453,42.50927431402374,0.09120064750809358,False,diff_too_large
20,88,152.25,272.95,41.150530971131104,47.45122862869618,71,70.0,,,,,False,overlap_too_short
20,89,152.25,284.05,41.150530971131104,48.65000365552949,93,92.0,,,,,False,overlap_too_short
20,90,152.25,272.9,41.150530971131104,64.699581872443,140,139.0,16.343273489779108,16.66036034857696,30.41395756093599,0.04713230796947387,True,ok
20,96,152.25,154.15,41.150530971131104,60.9273744574152,53,52.0,,,,,False,overlap_too_short
20,97,152.25,118.65,41.150530971131104,359.1197586338669,71,70.0,,,,,False,overlap_too_short
